"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Radim Simek",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"D","Noah Juulsen",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Filip Sandberg",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Barclay Goodrow",2500,"MON@SJ 10/17/2017 10:30PM ET",0.000,"SJ"
"W","Jeremiah Addison",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"D","Jake Bischoff",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Keegan Kolesar",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Tobias Lindberg",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","David Clarkson",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"D","Trevor Carrick",2500,"CAR@EDM 10/17/2017 09:00PM ET",0.000,"CAR"
"D","Jake Bean",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"CAR"
"D","Dillon Simpson",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"D","Andrew Ference",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"D","Mark Fayne",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"W","Patrick Russell",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"W","Brian Ferlin",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"W","Tyler Benson",2500,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"W","Mike Sislo",2500,"ARI@DAL 10/17/2017 08:30PM ET",0,"ARI"
"W","Craig Cunningham",2500,"ARI@DAL 10/17/2017 08:30PM ET",0,"ARI"
"D","Markus Nutivaara",2500,"CLS@WPG 10/17/2017 08:00PM ET",0,"CLS"
"D","Jan Kostalek",2500,"CLS@WPG 10/17/2017 08:00PM ET",0,"WPG"
"D","Nelson Nogier",2500,"CLS@WPG 10/17/2017 08:00PM ET",0,"WPG"
"W","J.C. Lipon",2500,"CLS@WPG 10/17/2017 08:00PM ET",0,"WPG"
"W","Brendan Lemieux",2500,"CLS@WPG 10/17/2017 08:00PM ET",0,"WPG"
"W","A.J. Greer",2500,"COL@NSH 10/17/2017 08:00PM ET",0,"COL"
"D","Olli Juolevi",2500,"VAN@OTT 10/17/2017 07:30PM ET",0,"VAN"
"D","Evan McEneny",2500,"VAN@OTT 10/17/2017 07:30PM ET",0,"VAN"
"W","Darren Archibald",2500,"VAN@OTT 10/17/2017 07:30PM ET",0,"VAN"
"D","Roman Polak",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Rinat Valiev",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Travis Dermott",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Andrew Nielsen",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Michael Paliotta",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Justin Holl",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Vincent LoVerde",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Timothy Liljegren",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Anthony Peluso",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"WAS"
"W","Carl Grundstrom",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Kasperi Kapanen",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Milan Michalek",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Trevor Moore",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Joffrey Lupul",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Kerby Rychel",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Dmytro Timashov",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"W","Andreas Johnsson",2500,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Ed Wittchow",2500,"FLA@PHI 10/17/2017 07:00PM ET",0,"FLA"
"D","Linus Hultstrom",2500,"FLA@PHI 10/17/2017 07:00PM ET",0,"FLA"
"W","Cole Bardreau",2500,"FLA@PHI 10/17/2017 07:00PM ET",0,"PHI"
"W","Colin McDonald",2500,"FLA@PHI 10/17/2017 07:00PM ET",0,"PHI"
"W","Owen Tippett",2500,"FLA@PHI 10/17/2017 07:00PM ET",0.000,"FLA"
"W","Derek Hulak",2500,"FLA@PHI 10/17/2017 07:00PM ET",0,"PHI"
"D","Chris Summers",2500,"PIT@NYR 10/17/2017 07:00PM ET",0.000,"PIT"
"D","Dominik Masin",2500,"TB@NJ 10/17/2017 07:30PM ET",0,"TB"
"W","Jonne Tammela",2500,"TB@NJ 10/17/2017 07:30PM ET",0,"TB"
"W","Blake Pietila",2500,"TB@NJ 10/17/2017 07:30PM ET",0,"NJ"
"W","Brandon Mashinter",2600,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Brandon Bollig",2600,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Teemu Pulkkinen",2600,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Gemel Smith",2600,"ARI@DAL 10/17/2017 08:30PM ET",0.500,"DAL"
"D","Petter Granberg",2600,"COL@NSH 10/17/2017 08:00PM ET",0,"NSH"
"D","Duncan Siemens",2600,"COL@NSH 10/17/2017 08:00PM ET",0,"COL"
"D","Andrei Mironov",2600,"COL@NSH 10/17/2017 08:00PM ET",0.100,"COL"
"D","Sergei Boikov",2600,"COL@NSH 10/17/2017 08:00PM ET",0,"COL"
"D","Derrick Pouliot",2600,"VAN@OTT 10/17/2017 07:30PM ET",0.750,"VAN"
"D","Jordan Subban",2600,"VAN@OTT 10/17/2017 07:30PM ET",0,"VAN"
"D","Ben Harpur",2600,"VAN@OTT 10/17/2017 07:30PM ET",0.000,"OTT"
"D","Keaton Middleton",2600,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","MacKenzie Weegar",2600,"FLA@PHI 10/17/2017 07:00PM ET",0.000,"FLA"
"W","Alexandre Grenier",2600,"FLA@PHI 10/17/2017 07:00PM ET",0,"FLA"
"W","Garrett Wilson",2600,"PIT@NYR 10/17/2017 07:00PM ET",0,"PIT"
"D","Ben Lovejoy",2600,"TB@NJ 10/17/2017 07:30PM ET",1.250,"NJ"
"W","Alexander Volkov",2600,"TB@NJ 10/17/2017 07:30PM ET",0,"TB"
"W","Tye McGinn",2600,"TB@NJ 10/17/2017 07:30PM ET",0,"TB"
"D","Joe Morrow",2700,"MON@SJ 10/17/2017 10:30PM ET",0.000,"MON"
"D","Eric Gelinas",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Marcus Sorensen",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"D","Clayton Stoner",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"D","Griffin Reinhart",2700,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"VGK"
"D","Justin Falk",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"D","Cody Goloubef",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"W","Tomas Hyka",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"D","Haydn Fleury",2700,"CAR@EDM 10/17/2017 09:00PM ET",1.333,"CAR"
"W","Iiro Pakarinen",2700,"CAR@EDM 10/17/2017 09:00PM ET",0.500,"EDM"
"D","Joel Hanley",2700,"ARI@DAL 10/17/2017 08:30PM ET",0,"ARI"
"W","Emerson Etem",2700,"ARI@DAL 10/17/2017 08:30PM ET",0.000,"ARI"
"D","Scott Harrington",2700,"CLS@WPG 10/17/2017 08:00PM ET",0.000,"CLS"
"D","Tucker Poolman",2700,"CLS@WPG 10/17/2017 08:00PM ET",0.625,"WPG"
"W","Markus Hannikainen",2700,"CLS@WPG 10/17/2017 08:00PM ET",0.500,"CLS"
"D","Anthony Bitetto",2700,"COL@NSH 10/17/2017 08:00PM ET",0.333,"NSH"
"D","David Warsofsky",2700,"COL@NSH 10/17/2017 08:00PM ET",0,"COL"
"D","Chris Bigras",2700,"COL@NSH 10/17/2017 08:00PM ET",1.000,"COL"
"W","Vladislav Kamenev",2700,"COL@NSH 10/17/2017 08:00PM ET",0,"NSH"
"W","Derek Dorsett",2700,"VAN@OTT 10/17/2017 07:30PM ET",1.875,"VAN"
"W","Jake Virtanen",2700,"VAN@OTT 10/17/2017 07:30PM ET",0.375,"VAN"
"D","Madison Bowey",2700,"TOR@WAS 10/17/2017 07:00PM ET",0.000,"WAS"
"D","Connor Carrick",2700,"TOR@WAS 10/17/2017 07:00PM ET",1.125,"TOR"
"D","Andreas Borgman",2700,"TOR@WAS 10/17/2017 07:00PM ET",0.900,"TOR"
"D","Calle Rosen",2700,"TOR@WAS 10/17/2017 07:00PM ET",1.125,"TOR"
"D","Alex Petrovic",2700,"FLA@PHI 10/17/2017 07:00PM ET",1.125,"FLA"
"W","Tom Sestito",2700,"PIT@NYR 10/17/2017 07:00PM ET",0,"PIT"
"D","Michael Kapla",2700,"TB@NJ 10/17/2017 07:30PM ET",0,"NJ"
"W","Nick Lappin",2700,"TB@NJ 10/17/2017 07:30PM ET",0,"NJ"
"W","Stefan Noesen",2700,"TB@NJ 10/17/2017 07:30PM ET",1.500,"NJ"
"W","Adam Erne",2700,"TB@NJ 10/17/2017 07:30PM ET",0,"TB"
"D","Brandon Davidson",2800,"MON@SJ 10/17/2017 10:30PM ET",1.125,"MON"
"D","Marco Scandella",2800,"BUF@VGK 10/17/2017 10:00PM ET",1.583,"BUF"
"W","Evan Rodrigues",2800,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"W","Tomas Nosek",2800,"BUF@VGK 10/17/2017 10:00PM ET",1.300,"VGK"
"D","Klas Dahlbeck",2800,"CAR@EDM 10/17/2017 09:00PM ET",0.750,"CAR"
"D","Ryan Stanton",2800,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"W","Janne Kuokkanen",2800,"CAR@EDM 10/17/2017 09:00PM ET",1.000,"CAR"
"W","Josh Jooris",2800,"CAR@EDM 10/17/2017 09:00PM ET",0.000,"CAR"
"W","Valentin Zykov",2800,"CAR@EDM 10/17/2017 09:00PM ET",0,"CAR"
"D","Adam Clendening",2800,"ARI@DAL 10/17/2017 08:30PM ET",0.400,"ARI"
"D","Gabriel Carlsson",2800,"CLS@WPG 10/17/2017 08:00PM ET",1.500,"CLS"
"W","Brandon Tanev",2800,"CLS@WPG 10/17/2017 08:00PM ET",1.700,"WPG"
"W","Marko Dano",2800,"CLS@WPG 10/17/2017 08:00PM ET",0.000,"WPG"
"W","Matt Hendricks",2800,"CLS@WPG 10/17/2017 08:00PM ET",0,"WPG"
"D","Alexandre Carrier",2800,"COL@NSH 10/17/2017 08:00PM ET",0,"NSH"
"D","Anton Lindholm",2800,"COL@NSH 10/17/2017 08:00PM ET",0.300,"COL"
"W","Gabriel Bourque",2800,"COL@NSH 10/17/2017 08:00PM ET",0,"COL"
"D","Erik Gudbranson",2800,"VAN@OTT 10/17/2017 07:30PM ET",1.625,"VAN"
"D","Patrick Wiercioch",2800,"VAN@OTT 10/17/2017 07:30PM ET",0,"VAN"
"D","Aaron Ness",2800,"TOR@WAS 10/17/2017 07:00PM ET",1.083,"WAS"
"W","Ben Smith",2800,"TOR@WAS 10/17/2017 07:00PM ET",0,"TOR"
"D","Brandon Manning",2800,"FLA@PHI 10/17/2017 07:00PM ET",1.750,"PHI"
"W","Micheal Haley",2800,"FLA@PHI 10/17/2017 07:00PM ET",1.250,"FLA"
"D","Chad Ruhwedel",2800,"PIT@NYR 10/17/2017 07:00PM ET",1.125,"PIT"
"D","Matt Hunwick",2800,"PIT@NYR 10/17/2017 07:00PM ET",1.917,"PIT"
"D","Brendan Smith",2800,"PIT@NYR 10/17/2017 07:00PM ET",1.200,"NYR"
"W","Ryan Reaves",2800,"PIT@NYR 10/17/2017 07:00PM ET",1.083,"PIT"
"W","Andrew Desjardins",2800,"PIT@NYR 10/17/2017 07:00PM ET",0,"NYR"
"D","Andrej Sustr",2800,"TB@NJ 10/17/2017 07:30PM ET",0.125,"TB"
"D","Dalton Prout",2800,"TB@NJ 10/17/2017 07:30PM ET",0.200,"NJ"
"W","Michael Bournival",2800,"TB@NJ 10/17/2017 07:30PM ET",0,"TB"
"W","Joseph Blandisi",2800,"TB@NJ 10/17/2017 07:30PM ET",0,"NJ"
"D","Joakim Ryan",2900,"MON@SJ 10/17/2017 10:30PM ET",1.250,"SJ"
"W","Nicolas Deslauriers",2900,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"D","Brayden McNabb",2900,"BUF@VGK 10/17/2017 10:00PM ET",1.400,"VGK"
"D","Jon Merrill",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.500,"VGK"
"D","Victor Antipin",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.833,"BUF"
"W","Tyler Wong",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Nicholas Baptiste",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"W","Jordan Nolan",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.100,"BUF"
"W","Jujhar Khaira",2900,"CAR@EDM 10/17/2017 09:00PM ET",0.000,"EDM"
"D","Jakob Chychrun",2900,"ARI@DAL 10/17/2017 08:30PM ET",0,"ARI"
"D","Greg Pateryn",2900,"ARI@DAL 10/17/2017 08:30PM ET",0.000,"DAL"
"D","Julius Honka",2900,"ARI@DAL 10/17/2017 08:30PM ET",0.500,"DAL"
"D","Chris Martenet",2900,"ARI@DAL 10/17/2017 08:30PM ET",0,"DAL"
"D","Jamie Oleksiak",2900,"ARI@DAL 10/17/2017 08:30PM ET",0.800,"DAL"
"W","Mario Kempe",2900,"ARI@DAL 10/17/2017 08:30PM ET",2.333,"ARI"
"W","Antoine Roussel",2900,"ARI@DAL 10/17/2017 08:30PM ET",0.500,"DAL"
"D","Ben Chiarot",2900,"CLS@WPG 10/17/2017 08:00PM ET",0.000,"WPG"
"W","Zac Dalpe",2900,"CLS@WPG 10/17/2017 08:00PM ET",1.125,"CLS"
"D","Yannick Weber",2900,"COL@NSH 10/17/2017 08:00PM ET",0.125,"NSH"
"W","Blake Comeau",2900,"COL@NSH 10/17/2017 08:00PM ET",1.000,"COL"
"W","Cody McLeod",2900,"COL@NSH 10/17/2017 08:00PM ET",0.750,"NSH"
"W","Matt Nieto",2900,"COL@NSH 10/17/2017 08:00PM ET",0.200,"COL"
"D","Alex Biega",2900,"VAN@OTT 10/17/2017 07:30PM ET",0.000,"VAN"
"D","Fredrik Claesson",2900,"VAN@OTT 10/17/2017 07:30PM ET",1.800,"OTT"
"W","Clarke MacArthur",2900,"VAN@OTT 10/17/2017 07:30PM ET",0,"OTT"
"W","Matt Martin",2900,"TOR@WAS 10/17/2017 07:00PM ET",0.900,"TOR"
"D","Steven Kampfer",2900,"PIT@NYR 10/17/2017 07:00PM ET",1.000,"NYR"
"D","Braydon Coburn",2900,"TB@NJ 10/17/2017 07:30PM ET",1.750,"TB"
"D","Steven Santini",2900,"TB@NJ 10/17/2017 07:30PM ET",1.700,"NJ"
"D","Andy Greene",2900,"TB@NJ 10/17/2017 07:30PM ET",2.400,"NJ"
"W","Brian Gibbons",2900,"TB@NJ 10/17/2017 07:30PM ET",3.300,"NJ"
"D","Dylan DeMelo",3000,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"D","Brenden Dillon",3000,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"D","Tim Heed",3000,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"D","David Schlemko",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Daniel Carr",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"D","Matt Tennyson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.917,"BUF"
"D","Josh Gorges",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.900,"BUF"
"D","Zach Bogosian",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"BUF"
"D","Jake McCabe",3000,"BUF@VGK 10/17/2017 10:00PM ET",1.583,"BUF"
"W","William Carrier",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.800,"VGK"
"W","Justin Bailey",3000,"BUF@VGK 10/17/2017 10:00PM ET",4.500,"BUF"
"W","Matt Moulson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.700,"BUF"
"D","Eric Gryba",3000,"CAR@EDM 10/17/2017 09:00PM ET",0.750,"EDM"
"D","Yohann Auvitu",3000,"CAR@EDM 10/17/2017 09:00PM ET",0.167,"EDM"
"D","Matt Benning",3000,"CAR@EDM 10/17/2017 09:00PM ET",0.500,"EDM"
"W","Ty Rattie",3000,"CAR@EDM 10/17/2017 09:00PM ET",0,"EDM"
"D","Kevin Connauton",3000,"ARI@DAL 10/17/2017 08:30PM ET",1.625,"ARI"
"D","Stephen Johns",3000,"ARI@DAL 10/17/2017 08:30PM ET",2.500,"DAL"
