"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Matt Tennyson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.917,"BUF"
"D","Justin Falk",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Brandon Bollig",2600,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"G","Al Montoya",7200,"MON@SJ 10/17/2017 10:30PM ET",-0.600,"MON"
"W","Zemgus Girgensons",4100,"BUF@VGK 10/17/2017 10:00PM ET",2.250,"BUF"
"U","Kyle Okposo",4200,"BUF@VGK 10/17/2017 10:00PM ET",1.500,"BUF"
"U","Tyler Wong",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Marcus Sorensen",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"D","Brad Hunt",3100,"BUF@VGK 10/17/2017 10:00PM ET",0.500,"VGK"
"W","Tomas Nosek",2800,"BUF@VGK 10/17/2017 10:00PM ET",1.300,"VGK"
"U","Jonathan Marchessault",4500,"BUF@VGK 10/17/2017 10:00PM ET",1.800,"VGK"
"G","Chad Johnson",7200,"BUF@VGK 10/17/2017 10:00PM ET",2.067,"BUF"
"G","Aaron Dell",8000,"MON@SJ 10/17/2017 10:30PM ET",1.900,"SJ"
"C","Jack Eichel",6600,"BUF@VGK 10/17/2017 10:00PM ET",4.167,"BUF"
"D","Tim Heed",3000,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"G","Martin Jones",8200,"MON@SJ 10/17/2017 10:30PM ET",2.600,"SJ"
"U","Oscar Lindberg",3700,"BUF@VGK 10/17/2017 10:00PM ET",2.200,"VGK"
"C","Mark Kastelic",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Andrew Shaw",3900,"MON@SJ 10/17/2017 10:30PM ET",1.700,"MON"
"U","Pierre-Edouard Bellemare",3100,"BUF@VGK 10/17/2017 10:00PM ET",0.900,"VGK"
"U","Matt Moulson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.700,"BUF"
"U","Shea Weber",5600,"MON@SJ 10/17/2017 10:30PM ET",2.600,"MON"
"G","Antoine Bibeau",6500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Tim Heed",3000,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"U","Marc-Edouard Vlasic",3700,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"U","Ryan Carpenter",3000,"MON@SJ 10/17/2017 10:30PM ET",0.667,"SJ"
"D","Jon Merrill",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.500,"VGK"
"D","Luca Sbisa",3100,"BUF@VGK 10/17/2017 10:00PM ET",2.000,"VGK"
"U","Mark Kastelic",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"D","Shea Weber",5600,"MON@SJ 10/17/2017 10:30PM ET",2.600,"MON"
"W","Jeremiah Addison",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Kevin Labanc",4300,"MON@SJ 10/17/2017 10:30PM ET",4.000,"SJ"
"C","Tomas Plekanec",4300,"MON@SJ 10/17/2017 10:30PM ET",2.600,"MON"
"W","Tomas Hertl",4500,"MON@SJ 10/17/2017 10:30PM ET",2.375,"SJ"
"U","Joakim Ryan",2900,"MON@SJ 10/17/2017 10:30PM ET",1.250,"SJ"
"W","Max Pacioretty",6400,"MON@SJ 10/17/2017 10:30PM ET",2.700,"MON"
"C","William Karlsson",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.200,"VGK"
"U","Justin Falk",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Michael McCarron",3100,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Nicolas Deslauriers",2900,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Radim Simek",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Jonathan Drouin",5900,"MON@SJ 10/17/2017 10:30PM ET",3.540,"MON"
"U","Alexander Nylander",3400,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"W","Kyle Okposo",4200,"BUF@VGK 10/17/2017 10:00PM ET",1.500,"BUF"
"U","Griffin Reinhart",2700,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"VGK"
"U","Reilly Smith",4000,"BUF@VGK 10/17/2017 10:00PM ET",1.800,"VGK"
"U","Keegan Kolesar",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Joe Thornton",5100,"MON@SJ 10/17/2017 10:30PM ET",1.375,"SJ"
"C","Jonathan Drouin",5900,"MON@SJ 10/17/2017 10:30PM ET",3.540,"MON"
"U","Johan Larsson",3200,"BUF@VGK 10/17/2017 10:00PM ET",1.917,"BUF"
"U","Eric Gelinas",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Joe Morrow",2700,"MON@SJ 10/17/2017 10:30PM ET",0.000,"MON"
"U","David Schlemko",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Brandon Mashinter",2600,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Teemu Pulkkinen",2600,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Max Pacioretty",6400,"MON@SJ 10/17/2017 10:30PM ET",2.700,"MON"
"W","James Neal",6900,"BUF@VGK 10/17/2017 10:00PM ET",5.600,"VGK"
"U","Filip Sandberg",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Tobias Lindberg",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"C","Torrey Mitchell",2900,"MON@SJ 10/17/2017 10:30PM ET",0.125,"MON"
"U","Justin Braun",3200,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"D","Jeff Petry",3600,"MON@SJ 10/17/2017 10:30PM ET",2.100,"MON"
"U","Noah Juulsen",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Jonathan Marchessault",4500,"BUF@VGK 10/17/2017 10:00PM ET",1.800,"VGK"
"U","Shea Theodore",3300,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Zemgus Girgensons",4100,"BUF@VGK 10/17/2017 10:00PM ET",2.250,"BUF"
"D","Joe Morrow",2700,"MON@SJ 10/17/2017 10:30PM ET",0.000,"MON"
"G","Marc-Andre Fleury",8000,"BUF@VGK 10/17/2017 10:00PM ET",5.950,"VGK"
"U","Jake Bischoff",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"D","Brent Burns",7500,"MON@SJ 10/17/2017 10:30PM ET",4.000,"SJ"
"U","Phillip Danault",4100,"MON@SJ 10/17/2017 10:30PM ET",1.900,"MON"
"U","Rasmus Ristolainen",5000,"BUF@VGK 10/17/2017 10:00PM ET",2.583,"BUF"
"U","Marco Scandella",2800,"BUF@VGK 10/17/2017 10:00PM ET",1.583,"BUF"
"W","Joel Ward",3500,"MON@SJ 10/17/2017 10:30PM ET",0.667,"SJ"
"W","Charles Hudon",3900,"MON@SJ 10/17/2017 10:30PM ET",2.500,"MON"
"W","David Clarkson",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Alex Tuch",3500,"BUF@VGK 10/17/2017 10:00PM ET",7.000,"VGK"
"D","Nathan Beaulieu",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.750,"BUF"
"W","Michael McCarron",3100,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Benoit Pouliot",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.417,"BUF"
"C","Ryan O'Reilly",5000,"BUF@VGK 10/17/2017 10:00PM ET",2.167,"BUF"
"D","Eric Gelinas",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Victor Antipin",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.833,"BUF"
"G","Malcolm Subban",7700,"BUF@VGK 10/17/2017 10:00PM ET",6.200,"VGK"
"U","Jeff Petry",3600,"MON@SJ 10/17/2017 10:30PM ET",2.100,"MON"
"C","Phillip Danault",4100,"MON@SJ 10/17/2017 10:30PM ET",1.900,"MON"
"U","Evan Rodrigues",2800,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"C","Cody Eakin",4500,"BUF@VGK 10/17/2017 10:00PM ET",2.000,"VGK"
"U","Jeremiah Addison",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Tomas Hyka",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","William Karlsson",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.200,"VGK"
"W","Tyler Wong",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"D","Shea Theodore",3300,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Alexander Nylander",3400,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Reid Duke",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Evan Rodrigues",2800,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"G","Carey Price",7400,"MON@SJ 10/17/2017 10:30PM ET",2.240,"MON"
"U","Vadim Shipachyov",3700,"BUF@VGK 10/17/2017 10:00PM ET",3.500,"VGK"
"W","Brendan Leipsic",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.900,"VGK"
"D","Brenden Dillon",3000,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"U","Zach Bogosian",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"BUF"
"D","Brayden McNabb",2900,"BUF@VGK 10/17/2017 10:00PM ET",1.400,"VGK"
"U","Tobias Lindberg",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Alex Galchenyuk",3700,"MON@SJ 10/17/2017 10:30PM ET",1.600,"MON"
"D","Brandon Davidson",2800,"MON@SJ 10/17/2017 10:30PM ET",1.125,"MON"
"W","Timo Meier",3500,"MON@SJ 10/17/2017 10:30PM ET",2.875,"SJ"
"W","Keegan Kolesar",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Brandon Bollig",2600,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Joonas Donskoi",3400,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"W","David Perron",4700,"BUF@VGK 10/17/2017 10:00PM ET",2.700,"VGK"
"U","Melker Karlsson",3200,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"U","James Neal",6900,"BUF@VGK 10/17/2017 10:00PM ET",5.600,"VGK"
"U","Chris Tierney",3500,"MON@SJ 10/17/2017 10:30PM ET",2.250,"SJ"
"G","Linus Ullmark",6500,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"C","Jacob Josefson",2700,"BUF@VGK 10/17/2017 10:00PM ET",0.833,"BUF"
"U","Brendan Gallagher",4400,"MON@SJ 10/17/2017 10:30PM ET",2.700,"MON"
"U","Sean Malone",2600,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","David Perron",4700,"BUF@VGK 10/17/2017 10:00PM ET",2.700,"VGK"
"D","Jordie Benn",3100,"MON@SJ 10/17/2017 10:30PM ET",1.600,"MON"
"U","Paul Byron",3200,"MON@SJ 10/17/2017 10:30PM ET",2.000,"MON"
"D","Colin Miller",3300,"BUF@VGK 10/17/2017 10:00PM ET",1.000,"VGK"
"U","Nicholas Baptiste",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
