"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Reid Duke",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Melker Karlsson",3200,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"C","Cody Eakin",4500,"BUF@VGK 10/17/2017 10:00PM ET",2.000,"VGK"
"U","Paul Martin",3100,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"U","Tomas Hertl",4500,"MON@SJ 10/17/2017 10:30PM ET",2.375,"SJ"
"D","Radim Simek",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Zach Bogosian",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"BUF"
"D","Nate Schmidt",4200,"BUF@VGK 10/17/2017 10:00PM ET",3.400,"VGK"
"U","Jonathan Marchessault",4500,"BUF@VGK 10/17/2017 10:00PM ET",1.800,"VGK"
"C","Peter Holland",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Sean Malone",2600,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Timo Meier",3500,"MON@SJ 10/17/2017 10:30PM ET",2.875,"SJ"
"U","Jeff Petry",3600,"MON@SJ 10/17/2017 10:30PM ET",2.100,"MON"
"D","Karl Alzner",3200,"MON@SJ 10/17/2017 10:30PM ET",1.500,"MON"
"W","James Neal",6900,"BUF@VGK 10/17/2017 10:00PM ET",5.600,"VGK"
"W","Tomas Hyka",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Michael McCarron",3100,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Zemgus Girgensons",4100,"BUF@VGK 10/17/2017 10:00PM ET",2.250,"BUF"
"U","Tomas Hyka",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Karl Alzner",3200,"MON@SJ 10/17/2017 10:30PM ET",1.500,"MON"
"C","Mark Kastelic",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"D","Deryk Engelland",3400,"BUF@VGK 10/17/2017 10:00PM ET",2.200,"VGK"
"U","Matt Moulson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.700,"BUF"
"U","Marcus Sorensen",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Mikhail Grabovski",3000,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Oscar Lindberg",3700,"BUF@VGK 10/17/2017 10:00PM ET",2.200,"VGK"
"G","Maxime Lagace",7400,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"C","William Karlsson",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.200,"VGK"
"W","David Clarkson",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Jacob De La Rose",3200,"MON@SJ 10/17/2017 10:30PM ET",0.500,"MON"
"W","Charles Hudon",3900,"MON@SJ 10/17/2017 10:30PM ET",2.500,"MON"
"D","Joakim Ryan",2900,"MON@SJ 10/17/2017 10:30PM ET",1.250,"SJ"
"U","David Clarkson",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","William Carrier",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.800,"VGK"
"W","Jannik Hansen",3600,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"D","Jon Merrill",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.500,"VGK"
"U","Jordan Nolan",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.100,"BUF"
"U","Nicholas Baptiste",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"W","Joe Pavelski",6400,"MON@SJ 10/17/2017 10:30PM ET",2.500,"SJ"
"D","Justin Falk",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Chris Tierney",3500,"MON@SJ 10/17/2017 10:30PM ET",2.250,"SJ"
"U","Noah Juulsen",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"C","Logan Couture",6200,"MON@SJ 10/17/2017 10:30PM ET",2.500,"SJ"
